All calculations,Terminal
13.473333,0.995351
13.483333,0.995356
13.493333,0.99536
13.503333,0.995364
13.513333,0.995369
13.523333,0.995373
13.533333,0.995378
13.543333,0.995383
13.553333,0.995387
13.563333,0.995392
13.573333,0.995397
13.583333,0.995401
13.593333,0.995406
13.603333,0.995411
13.613333,0.995416
13.623333,0.995421
13.633333,0.995426
13.643333,0.995431
13.653333,0.995436
13.663333,0.995441
13.673333,0.995446
13.683333,0.995451
13.693333,0.995456
13.703333,0.995462
13.713333,0.995467
13.723333,0.995472
13.733333,0.995478
13.743333,0.995483
13.753333,0.995488
13.763333,0.995494
13.773333,0.995499
13.783333,0.995505
13.793333,0.99551
13.803333,0.995516
13.813333,0.995521
13.823333,0.995527
13.833333,0.995532
13.843333,0.995538
13.853333,0.995544
13.863333,0.995549
13.873333,0.995555
13.883333,0.995561
13.893333,0.995566
13.903333,0.995572
13.913333,0.995578
13.923333,0.995584
13.933333,0.99559
13.943333,0.995595
13.953333,0.995601
13.963333,0.995607
13.973333,0.995613
13.983333,0.995619
13.993333,0.995625
14.003333,0.995631
14.013333,0.995637
14.023333,0.995643
14.033333,0.995649
14.043333,0.995655
14.053333,0.995661
14.063333,0.995667
14.073333,0.995673
14.083333,0.99568
14.093333,0.995686
14.103333,0.995692
14.113333,0.995698
14.123333,0.995704
14.133333,0.99571
14.143333,0.995716
14.153333,0.995723
14.163333,0.995729
14.173333,0.995735
14.183333,0.995741
14.193333,0.995748
14.203333,0.995754
14.213333,0.99576
14.223333,0.995766
14.233333,0.995773
14.243333,0.995779
14.253333,0.995785
14.263333,0.995792
14.273333,0.995798
14.283333,0.995804
14.293333,0.995811
14.303333,0.995817
14.313333,0.995823
14.323333,0.99583
14.333333,0.995836
14.343333,0.995842
14.353333,0.995849
14.363333,0.995855
14.373333,0.995861
14.383333,0.995868
14.393333,0.995874
14.403333,0.99588
14.413333,0.995887
14.423333,0.995893
14.433333,0.995899
14.443333,0.995906
14.453333,0.995912
14.463333,0.995919
14.473333,0.995925
14.483333,0.995931
14.493333,0.995938
14.503333,0.995944
14.513333,0.99595
14.523333,0.995957
14.533333,0.995963
14.543333,0.995969
14.553333,0.995976
14.563333,0.995982
14.573333,0.995988
14.583333,0.995995
14.593333,0.996001
14.603333,0.996007
14.613333,0.996014
14.623333,0.99602
14.633333,0.996026
14.643333,0.996032
14.653333,0.996039
14.663333,0.996045
14.673333,0.996051
14.683333,0.996057
14.693333,0.996064
14.703333,0.99607
14.713333,0.996076
14.723333,0.996082
14.733333,0.996089
14.743333,0.996095
14.753333,0.996101
14.763333,0.996107
14.773333,0.996113
14.783333,0.996119
14.793333,0.996126
14.803333,0.996132
14.813333,0.996138
14.823333,0.996144
14.833333,0.99615
14.843333,0.996156
14.853333,0.996162
14.863333,0.996168
14.873333,0.996174
14.883333,0.99618
14.893333,0.996186
14.903333,0.996192
14.913333,0.996198
14.923333,0.996204
14.933333,0.99621
14.943333,0.996216
14.953333,0.996222
14.963333,0.996228
14.973333,0.996234
14.983333,0.996239
14.993333,0.996245
15.003333,0.996251
15.013333,0.996257
15.023333,0.996263
15.033333,0.996268
15.043333,0.996274
15.053333,0.99628
15.063333,0.996286
15.073333,0.996291
